max_amp,min_amp,mean_amp,std_amp,max_angle,mean_angle,freefall_duration,impact_duration,final_angle,label
17.15,0.3,9.62,4.29,106.5,52.32,7,4,2.89,1
9.26,3.3,6.59,1.33,27.31,31.22,1,1,27.1,0
6.01,3.15,4.59,1.17,29.63,31.57,2,0,12.13,0
6.71,4.98,5.57,1.73,40.95,20.44,0,0,23.52,0
13.07,1.81,7.2,2.28,145.73,33.69,6,2,5.74,1
8.56,3.21,5.77,1.67,39.19,31.73,0,3,26.92,0
13.28,1.14,7.51,4.2,127.48,43.77,3,1,5.18,1
14.03,1.16,7.53,3.3,100.17,56.2,4,5,6.32,1
17.18,0.3,8.56,2.93,149.62,70.47,6,2,2.84,1
12.54,1.12,7.13,4.16,94.02,52.44,5,1,8.75,1
7.68,2.91,5.3,1.5,74.75,13.88,0,0,27.52,0
15.42,0.3,7.48,2.41,124.22,41.2,4,2,5.16,1
15.1,1.86,8.36,2.37,94.38,41.68,5,2,3.77,1
13.17,1.15,7.4,3.6,102.04,46.91,4,2,7.59,1
7.77,4.81,6.37,1.37,47.88,33.92,2,1,25.75,0
5.75,4.19,4.75,1.53,39.25,36.95,1,3,20.09,0
13.91,0.78,7.54,2.57,137.88,53.21,8,4,4.52,1
5.89,5.37,5.71,1.13,69.44,37.18,0,1,13.38,0
9.48,3.71,6.76,1.62,60.96,36.1,0,1,20.17,0
8.69,6.12,7.6,2.77,13.66,28.42,2,0,29.18,0
9.14,6.13,7.37,1.52,77.24,17.74,0,0,29.1,0
9.69,3.87,6.86,0.69,46.87,23.51,0,2,18.51,0
11.53,1.03,6.26,2.21,115.37,50.81,7,3,2.21,1
9.13,4.32,6.24,2.06,26.77,34.42,0,1,24.91,0
12.96,0.92,6.55,2.56,144.89,34.95,6,1,3.94,1
16.42,2.03,9.32,3.18,105.95,48.34,6,2,5.84,1
9.72,3.58,6.74,1.54,25.83,29.87,1,3,27.44,0
15.16,1.56,8.65,2.78,123.82,45.01,4,4,8.96,1
15.18,1.75,8.29,3.75,136.86,62.45,3,4,1.75,1
14.24,2.07,8.98,4.58,120.44,32.04,5,3,7.82,1
13.55,2.53,8.21,2.2,134.12,54.39,4,4,3.54,1
13.03,2.74,7.63,1.51,104.77,55.32,5,5,2.48,1
7.36,5.09,6.54,0.63,30.66,25.71,2,0,17.45,0
8.97,5.5,7.6,1.74,20.18,13.98,1,1,10.33,0
10.47,5.68,7.95,0.64,74.17,26.76,0,2,26.94,0
4.89,2.92,4.47,2.07,27.92,16.16,0,0,13.34,0
6.41,5.9,6.42,1.82,41.15,22.68,0,0,11.4,0
8.25,5.34,6.55,1.2,67.77,24.16,0,1,16.86,0
16.3,0.41,8.36,4.25,105.5,51.58,7,4,3.72,1
8.88,2.68,5.82,2.5,74.55,14.2,0,0,26.94,0
8.91,3.52,6.08,1.87,39.04,31.04,0,2,25.74,0
13.81,2.23,8.22,3.29,120.85,32.08,4,1,6.19,1
5.79,4.3,5.18,0.63,35.87,22.03,0,0,22.69,0
6.04,5.04,5.56,2.01,61.73,32.17,3,0,29.33,0
12.8,0.66,6.82,3.45,127.25,42.83,4,1,5.54,1
12.33,1.09,7.02,2.81,157.7,50.47,3,1,7.83,1
13.48,2.26,8.04,3.54,134.77,42.82,7,3,10.19,1
13.36,2.27,7.94,2.85,105.13,55.31,6,5,2.26,1
13.72,2.09,7.64,2.25,114.78,56.12,7,1,6.32,1
8.79,4.73,6.98,1.7,15.26,11.31,1,2,27.73,0
16,0.88,8.32,3.28,125.46,41.34,4,4,6.44,1
5.69,3.09,4.37,1.78,79.4,34.83,1,2,20.62,0
9.54,5.19,7.2,0.94,39.16,18.53,3,0,23.2,0
16.2,0.94,8.03,3.84,105.95,50.36,6,3,3.74,1
12.72,1.12,6.93,3.5,101.74,46.42,4,3,8.28,1
6.85,3.05,5.15,0.64,27.41,33.57,3,0,20.36,0
7.87,5.67,6.37,3.03,30.29,21.87,1,0,13.92,0
7.02,5.95,6.01,0.97,14.41,30.83,0,2,18.02,0
15.69,1.38,8.84,3.7,104.08,41.44,4,4,4.92,1
13.79,1.9,8.01,2.71,94.65,42.24,6,3,3.26,1
6.42,4.66,5.67,0.57,40.11,26.98,0,0,13.87,0
9.5,4.36,6.45,1.47,26.71,34.49,1,2,25.71,0
14.44,1.39,7.37,3.15,105.88,30.31,7,5,1.96,1
14.1,2.07,7.87,3.32,120.78,32.92,4,3,5.7,1
15.53,2.77,9.01,2.3,113.14,48.77,4,5,5.55,1
9.25,4.78,7.07,1.43,62.35,11.77,1,0,20.36,0
12.65,1.3,6.91,5.21,94.95,52.53,5,2,9.86,1
15.61,2.06,8.86,4.38,146.3,68.26,5,3,3.92,1
13.45,2.59,7.53,4.14,135.16,43.23,5,2,9.64,1
7.4,6.01,6.83,1.91,19.11,18.4,3,2,21.3,0
6.5,5.37,6,0.57,13.21,31.4,2,1,16.75,0
12.95,2.38,7.77,2.53,154.29,37.38,6,5,9.01,1
9.17,3.2,6.16,1.25,25.96,23.14,1,1,23.78,0
9.77,2.67,6.22,0.36,31.33,18.53,3,1,18.07,0
9.52,5.57,7.4,1.02,74.71,27.44,0,1,27.24,0
9.55,4.16,6.84,0.99,26.18,34.87,0,1,25.68,0
13.93,1.48,7.7,2.81,137.12,62.28,4,2,2.8,1
8.14,5.42,6.86,1.1,30.94,21.07,3,0,13.54,0
6.59,5.32,5.95,2.51,40.49,22.38,0,1,10.3,0
8.33,4.33,6.29,1.99,49.16,33.37,0,3,22.03,0
9.44,3.55,6.21,2.92,27.11,30.84,1,1,26.26,0
8.5,5.55,7.14,2.15,19.48,14.3,0,0,10.96,0
5.27,5.11,5.28,1.24,69.26,36.61,0,0,13.97,0
11.21,1.43,6.57,5.32,93.35,53,3,1,9.05,1
11.76,2.37,6.55,2.2,153.76,36.42,5,4,8.7,1
4.85,5.05,4.64,1.6,11.48,17,3,3,12.59,0
5.68,5.85,6.14,0.69,18.56,10.88,3,1,18.46,0
8.76,2.43,5.44,0.35,30.76,17.82,2,0,19.29,0
13.71,2.13,7.23,4.42,124.45,68.44,6,3,6.87,1
12.34,1.89,6.75,2.03,153.49,36.58,5,5,8.24,1
13.02,1.21,7.42,3.28,156.8,69.57,6,3,8.87,1
14.54,1,7.89,2.68,159.07,44.55,2,1,3.56,1
5.71,4.92,5.17,1.14,12.37,15.96,1,1,12.95,0
14.02,1.97,7.85,3.46,94.44,41.31,6,3,3.51,1
8.79,6.02,7.32,1.49,13.31,27.9,2,0,29.36,0
8.84,5.58,6.73,1.12,67.29,24.08,0,0,16.28,0
14.22,0.75,7.21,3.32,159.39,44.9,3,3,1.21,1
7.61,4.41,5.79,1.42,48.67,33.3,0,3,21.27,0
16,2.33,9.19,2.75,106.73,48.72,5,2,6.14,1
5.95,5.5,5.85,1.31,12.47,31.14,2,0,15.84,0
5.95,3.81,5.13,2.54,78.95,34.5,0,1,20.34,0
15.34,3.06,8.98,2.91,114.15,48.68,6,5,4.87,1
13.72,1.86,8.05,3.76,100.01,57.04,3,3,5.92,1
9.5,5.16,7.43,2.44,41.52,26.48,2,1,24.16,0
7.52,4.73,5.97,0.28,31.16,26.88,1,1,18.07,0
16.33,1.35,8.66,3.25,147.27,49.94,4,3,4.35,1
6.19,3.48,5.25,1.1,26.78,33.63,3,0,20.76,0
15.45,1.72,8.57,2.82,113.21,48.74,6,3,5.07,1
16.45,1.7,9.16,2.94,92.42,40.58,3,3,6.89,1
17.09,2.02,9.8,3.17,124.61,55.17,5,3,5.14,1
13.28,0.89,6.89,3.88,91.94,57.14,7,3,2.82,1
17.81,2.69,10.51,3.23,148.95,34.93,3,5,7.9,1
17.03,2.49,9.97,3.83,141.12,60.69,6,5,7.74,1
16.09,2.03,8.23,3.31,108.29,40.42,2,4,10.47,1
14.16,2.38,8.3,3.68,124.65,67.88,6,2,6.33,1
6.58,4.44,5.32,0.52,69.04,33.11,1,3,17.58,0
9.91,5.91,8,1.15,40.85,32.44,1,1,10.57,0
10.21,5.95,8.41,0.31,40.77,32.31,1,1,11.63,0
9.64,3.17,6.49,2.07,27.53,31.08,1,2,27.92,0
16.21,1.16,8.66,3.6,148.9,36.47,8,4,9.65,1
16,3.15,9.71,3.87,141.72,60.47,5,3,7.66,1
16.96,0.65,9.12,1.92,147.8,50.81,5,5,3.95,1
14.86,1.42,8.05,2.78,148.87,67,5,5,8.95,1
10.09,4.3,7.26,2.56,40.2,31.52,0,3,26.31,0
12,0.75,6.17,3.59,158.86,50.56,2,1,8.35,1
16.34,2.66,9.38,3.02,145.57,68.55,6,4,3.26,1
13.86,2.02,8.12,3.19,123.92,68.14,6,3,6.3,1
9.45,2.78,6.19,1.39,30.11,17.9,2,0,18.32,0
9.05,4.07,6.3,2.22,25.8,34.58,0,0,26.62,0
7.72,4.35,6.17,1.68,47.82,34.13,2,2,24.54,0
4.81,3.21,3.85,2.34,27.29,17.93,0,1,12.72,0
9.96,5.16,7.55,2.25,62.92,11.18,2,0,18.49,0
12.83,2.33,7.77,3.05,129.47,55.47,3,2,3.89,1
9.64,5.87,7.74,1.01,41.58,32.12,1,1,12.2,0
7.71,6.03,6.76,1.23,18.9,19.22,1,3,21.17,0
5.24,5.51,5.04,1.66,12.24,31.39,2,1,16.45,0
11.59,1.21,6.16,2.06,115.89,51.28,6,2,2.8,1
8.9,3.17,6.21,0.77,30.71,18.45,3,0,18.83,0
12.42,1.4,7.05,2.4,116.16,52.22,7,1,3.05,1
9.79,5.88,7.49,1.41,13.38,28.52,1,0,29.14,0
15.14,0.58,8.1,3.1,155.43,57.43,6,5,6.32,1
14.53,0.43,7.66,1.98,159.99,32.13,7,3,7.92,1
6.1,2.9,4.24,0.76,26.82,31.98,1,0,20.8,0
6.32,4.43,5.11,1.99,61.96,32.3,2,1,29.22,0
17.55,2.95,10.42,2.23,149.33,35.01,4,4,8.19,1
17.06,2.38,9.8,4.33,125.46,36.7,6,2,3.49,1
7.33,5.98,6.3,0.97,20.52,7.24,2,0,14.09,0
9.54,5.68,7.32,1.68,77.71,17.43,0,1,28.29,0
16.55,1.59,9.12,3.46,125.3,37.19,6,2,4.02,1
9.36,3.18,6.63,1.35,26.43,22.42,1,2,23.38,0
15.24,0.3,7.96,3.11,155.39,56.37,6,4,6.92,1
14.76,0.7,7.93,2.84,104.77,30.32,6,5,2.22,1
14.15,1.22,7.64,3.57,158.66,45.32,3,3,2.59,1
11.92,1.03,5.95,3.82,93.7,52.43,3,1,9.32,1
16.88,1.17,9.12,1.14,92.5,41.13,3,3,6.57,1
12.86,1.19,6.92,3.82,157.52,68.52,5,4,10.27,1
5.75,3.71,5.31,1.41,35.26,21.27,0,0,22.27,0
8.77,2.66,5.69,0.99,25.38,22.65,2,1,23.66,0
7.45,5.76,6.98,1.54,30.05,20.49,1,0,13.16,0
11.95,2.22,6.8,2.13,134.02,54.16,4,3,3.52,1
8.84,5.25,7.16,1.21,67.05,23.95,1,0,16.92,0
16.25,1.48,9.02,2.56,93.22,39.96,3,3,6.34,1
14.83,0.84,7.56,3.01,97.85,61.43,4,5,9.5,1
6.11,4.85,4.99,1.75,13.22,31.66,3,2,15.53,0
12.87,1.9,7.91,4.01,159.09,52.28,3,2,2.82,1
7.27,5.39,6.13,1.86,41.27,19.99,0,1,23.31,0
9.87,4.99,7.47,2.03,41.84,26.99,3,1,24.58,0
9.67,3.26,6.38,2.8,46.63,23.69,1,2,17.68,0
13.98,1.57,8.01,3.39,130.54,47.09,3,2,5.89,1
12.72,0.83,6.92,3.39,126.8,44.07,4,2,5.57,1
8.75,4.73,6.4,0.63,30.31,27.04,2,0,18.9,0
15.89,1.85,8.39,3.88,113.25,69.49,8,4,8.34,1
14.74,2.79,9.19,3.76,121.25,32.69,4,3,6.1,1
4.6,3.22,3.98,1.94,28.83,16.45,0,0,12.89,0
15.51,1.79,8.7,3.62,113.85,69.13,7,4,7.45,1
6.02,5.8,6.24,0.8,15.55,30.51,1,2,18.12,0
8.55,4.84,6.61,1.97,9.84,24.23,3,2,12.82,0
14.01,1.14,7.69,3.58,136.43,61.8,4,3,2.41,1
10.01,2.67,5.99,0.75,25.73,23.56,2,1,24.28,0
8.4,5.74,7.13,0.41,39.3,18.78,3,1,22.64,0
13.08,0.61,6.75,3.57,157.77,45.74,5,1,7.38,1
5.51,4.72,5.25,1.54,60.83,33.65,3,0,19.13,0
6.35,4.01,5.57,1.62,35.59,22.57,1,0,22.65,0
14.49,1.76,8.62,2.49,130.19,47.7,2,2,5.5,1
14.18,1.19,7.42,3.03,137.53,52.74,7,3,5.1,1
12.24,0.94,6.26,1.39,144.77,35.18,5,3,4.83,1
12.8,0.96,7.11,3,102,46.53,5,3,8.1,1
9.31,5.56,7.65,0.5,39.29,18.16,1,1,23.05,0
8.55,3.1,5.09,2.59,75.05,14.83,1,1,26.99,0
16.27,0.61,8.15,3.59,149.79,37.44,6,4,8.98,1
5.44,2.76,3.63,0.65,46.74,13.71,3,0,11.66,0
8.57,5.58,7.03,1.43,67.32,24.6,0,0,17.04,0
5.53,3,4.19,0.26,33.28,23.28,1,1,19.15,0
6.15,3.1,4.69,1.41,30.33,32.11,1,0,11.05,0
5.86,5.18,5.55,-0.03,69.1,35.66,0,0,14.1,0
14,0.99,7.65,3.16,100.45,56.97,5,5,4.96,1
4.62,4.65,4.64,1.5,28.73,17.85,2,1,24.21,0
14,1.54,7.41,1.69,148.61,65.66,5,4,9.38,1
15.3,2.61,9.06,3.13,113.89,48.08,5,4,5.77,1
15.36,1.4,8.29,2.68,124.78,45.74,4,4,8.07,1
8.05,4.31,6.31,1.69,48.09,33.74,1,2,20.88,0
14.88,2.57,8.98,2.73,124.52,45.12,4,2,9.38,1
5.69,5.89,5.88,0.85,19.46,10.74,1,1,17.92,0
16.01,1.73,8.11,3.31,146.63,67.88,7,4,3.1,1
17.06,2,10.36,2.67,126.3,54.67,5,4,5.61,1
6.15,4.89,5.86,1.69,12.04,31.16,3,0,16.71,0
6.01,4.13,4.81,1.15,38.97,35.89,3,1,20,0
16.34,1.74,8.8,2.82,104.13,41.82,5,3,5.26,1
9.25,5.37,7.25,1.13,73.86,27.64,0,1,27.03,0
14.27,2.21,8.98,3.26,94.54,41.59,5,3,3.86,1
16.68,1.07,8.45,3.3,105.66,52.78,8,5,2.79,1
15.12,2.13,8.75,2.31,147.42,54.42,4,4,7.48,1
8.98,3.82,6.83,0.74,61.51,35.22,1,1,20.65,0
7.52,5.54,6.12,1.68,74.55,27.37,0,0,21.47,0
10.28,4.01,7.3,0.6,46.15,24.38,2,2,16.98,0
7.45,5.66,6.3,2.53,18.44,18.25,2,3,21.3,0
12.9,1.37,6.86,3.9,127.35,43.34,3,1,5.48,1
8.19,4.35,6.14,2.2,48.96,33.72,0,3,22.2,0
10.16,5.78,8.29,1.52,74.24,26.78,0,1,26.45,0
16.39,1.01,8.92,2.89,150.15,36.71,8,4,9.13,1
13.43,1.72,7.54,2.83,114.33,57.29,5,1,5.31,1
8.62,4.27,6.28,2.57,49.03,34.22,1,2,21.87,0
14.23,1.97,8.45,1,149.36,66.48,6,3,9.74,1
14.76,1.56,8.18,2.19,105.16,56.34,5,4,2.03,1
7.4,5.98,6.62,1.33,19.02,18.86,3,2,20.46,0
6.96,3.37,5.27,1.39,44.98,13.07,1,1,11.57,0
17.32,1.79,9.88,2.44,124.06,44.02,6,2,9.22,1
12.34,0.82,7,2.54,157.69,51.12,3,1,7.95,1
6.07,3.12,5.08,1.06,29.43,31.8,2,0,11.39,0
14.82,0.89,7.59,3.18,159.28,45.33,2,2,3.66,1
6.31,3.59,5.52,0.16,31.15,9.04,2,1,18.15,0
7.59,3.58,5.6,0.7,29.86,9.37,1,0,19.44,0
5.42,3.72,4.83,0.92,33.49,23.75,0,3,19.78,0
7.33,4.4,6.04,1.13,40.42,27.34,0,2,14.38,0
12.18,1.5,6.52,1.95,146.61,34.12,7,3,6.11,1
9.93,4.44,6.31,2.28,15.03,11.52,1,3,27.87,0
16.02,0.77,8.22,1.58,148.59,70.23,8,2,3.98,1
7.98,4.07,6.61,1.03,47.61,34.38,2,1,25.11,0
16.17,1.64,8.71,4.48,109.03,42.04,4,3,9.89,1
15.64,0.33,8.06,1.83,158.76,33.1,7,4,9.39,1
8.48,4.48,6.06,0.31,72.15,19.13,1,2,11.54,0
15.59,0.66,7.92,1.82,158.58,33.5,6,5,10.31,1
9.23,5.3,6.78,0.9,61.97,11.98,2,1,22.02,0
6.56,6.04,6.82,0.76,15.67,30.64,1,2,17.96,0
5.43,3.86,4.67,1.69,53.94,7.55,2,3,21.61,0
6.58,4.99,5.66,2.03,60.79,32.55,3,0,29.42,0
17.33,0.95,9.12,2.48,147.75,70.01,7,2,3.6,1
5.34,5.12,5.6,1.2,69.34,36.79,0,0,15,0
12.96,1.72,6.88,2.13,144.91,36.6,4,1,4.8,1
10.24,3.22,6.06,-0.07,35.19,20.59,3,0,24.29,0
6.38,4.28,5.47,1.48,54.33,6.18,1,2,20.69,0
16.37,0.93,8.89,2.78,147.69,69.41,6,3,3.26,1
15.78,1.02,8.48,2.09,147.85,50.06,3,3,4.72,1
4.84,6.24,5.62,0.7,20.92,7.01,3,2,13.78,0
15.41,0.93,8.23,2.52,138.42,53.28,7,3,4.98,1
11.78,1.78,6.69,3.09,158.98,50.84,4,4,2.89,1
6.93,3.51,4.63,1.02,31.22,9.92,2,1,19.77,0
16.8,2.33,9.8,3.93,141.36,61.27,5,5,7.91,1
15.35,1.05,8.24,2.99,121.21,39,5,4,4.83,1
14.61,0.51,7.64,2.7,97.39,60.61,6,3,8.53,1
12.39,1.65,7.43,3.01,100.53,56.88,3,4,5.66,1
17.16,2.43,9.91,2.23,124.55,55.09,6,3,5.02,1
13.36,1.53,6.92,2.95,104.94,30.18,6,3,2.17,1
6.6,6,5.97,0.49,20.22,6.78,2,2,14.49,0
8.41,4.55,6.74,1.26,9.93,24.9,3,1,11.72,0
15.44,0.72,8.17,2.41,124.18,41.45,3,4,5.75,1
13.16,2.26,7.8,3.95,134.7,43.55,7,4,9.48,1
14.14,1.36,7.66,2.59,131.2,48.1,2,1,6.06,1
8.78,3.49,5.94,1.69,38.99,32.67,2,2,27.01,0
13.17,1.24,7.05,4.38,157.78,69.81,6,3,9.28,1
8.39,4.47,6.45,0.67,29.78,27.02,2,0,18.68,0
7.14,6.06,6.95,1.14,20.67,7.3,2,0,13.77,0
9.09,4.4,6.85,0.33,20.76,15.17,1,0,11.53,0
12.77,1.92,7.81,2.83,94.33,51.65,3,3,9.88,1
4.82,3.17,3.76,1.04,79.51,34.82,1,2,19.57,0
9.63,3.83,7.01,2.29,61.54,35.31,1,0,20.69,0
12.84,1.53,6.47,2.23,146.83,33.19,7,1,4.96,1
15.55,0.3,8.06,2.77,124.6,41.64,2,4,5.22,1
13.56,2.41,7.66,2.28,129.14,55.5,5,2,4.97,1
13.53,1.44,7.59,3.05,93.12,60.47,6,3,6.63,1
12.26,0.9,6.6,3.14,156.97,50.72,2,1,8.2,1
12.84,1.38,7.06,3.02,101.47,45.38,4,3,8.73,1
14.51,1.86,7.61,2.93,93.99,59.28,6,3,7.76,1
15.09,1.39,8.56,3.48,121.5,38.87,5,3,3.71,1
17.11,0.61,9.4,3.75,106.08,52.74,8,5,3.46,1
14.36,1.37,7.82,2.98,137.31,52.69,7,4,5.19,1
15.22,1.85,8.58,3.14,108.87,41.34,4,4,10.6,1
8.61,4.07,6.38,0.3,71.9,19.49,2,1,11.13,0
15.81,0.4,8.14,3.06,121.11,38.66,6,4,3.29,1
16.25,1.08,8.11,2.42,92.33,41.24,4,2,6.36,1
6.13,4.61,5.1,1.13,61.25,34.11,2,0,19.37,0
13.36,0.83,6.97,3.39,92.17,57.22,6,3,3.66,1
6.55,5.95,6.52,0.64,14.62,31,0,0,18.24,0
6.27,4.98,6.19,1.23,39.55,28.34,0,0,13.68,0
6.64,3.28,4.76,0.27,30.13,8.98,2,0,19.5,0
9.25,5.66,7.73,1.44,40.92,31.66,1,3,10.82,0
5.26,4.86,4.85,0.86,69.06,37.2,1,0,14.37,0
5.98,3.06,4.7,1.68,32.64,23.37,0,1,19.42,0
7.87,5.75,6.91,1.26,68.53,23.82,1,0,16.66,0
13.53,1.52,7.45,1.45,147.07,32.93,6,1,6.12,1
6.21,3.41,5.05,1.36,33.18,23.78,0,1,19.18,0
8.16,5.6,6.35,2.2,13.39,29.3,1,0,28.4,0
14.34,2.05,8.23,3.8,120.76,32.41,6,3,6.13,1
