max_amp,min_amp,mean_amp,std_amp,max_angle,mean_angle,freefall_duration,impact_duration,final_angle,label
16,0.51,8.97,2.9,124.53,41.23,3,3,5.33,1
13.96,2.18,8.52,2.15,104.74,55.6,6,4,2.66,1
12.03,1.45,6.27,4,94.44,53.28,4,2,9.52,1
16.94,2.48,9.67,3.56,141.09,61.28,5,4,8.14,1
14.63,0.55,7.18,2.06,159.01,33.47,7,4,9.11,1
13.12,1.2,7.3,3.6,156.53,69.67,5,4,9.18,1
16.99,0.84,8.58,2.79,148.48,69.49,7,3,3.8,1
15.51,1.23,9.13,2.92,121.39,38.83,5,3,3.76,1
15.86,0.97,8.06,2.14,147.96,49.96,4,4,4.02,1
12.19,0.99,6.56,3.9,127.13,43.49,3,2,5.32,1
12.33,2.37,7.7,2.53,153.99,36.68,6,4,8.84,1
12.93,1.99,7.11,2.6,133.53,54.58,3,3,3.19,1
6.58,4.73,5.85,1.91,61.1,32.23,2,0,29.2,0
6.02,3.76,5.35,1.35,35.8,21.33,0,0,22.65,0
8.93,5.6,7.57,1.48,77.75,17.8,0,1,29.29,0
7.39,5.71,6.07,1.8,19.04,18.27,2,2,21.17,0
5.86,5.11,5.8,1.46,12.92,31.08,2,1,16.04,0
5.64,3.16,4.5,1.1,33.51,23.49,0,2,19.34,0
7.93,2.63,6.78,1.07,47.57,33.86,2,1,25,0
9.31,5.11,7.36,1.84,15.17,11.26,0,2,28.14,0
8.87,3.05,5.59,0.66,30.58,18.59,2,0,18.73,0
6.36,3.02,4.22,1.15,45.85,13.75,2,0,12.07,0
6.96,3.48,5.22,0.81,30.45,9.35,2,1,19.17,0
5.36,4.36,4.38,1.3,60.61,33.23,2,0,19.09,0
6.23,5.61,6.12,1.79,41.49,23.16,0,0,10.69,0
15.6,4.27,4.66,1.5,39.36,36.23,2,2,20.31,0
5.82,3.04,4.44,1.03,30.45,32.03,1,1,11.68,0
8.99,5.73,6.86,1.71,13.03,28.87,2,0,29.04,0
15.35,5.01,4.94,1.75,12.2,16.34,2,2,13.11,0
8.49,5.2,7.22,1.12,19.97,14.11,0,0,11.09,0
5.32,3.17,4.68,1.71,27.76,16.96,0,0,13.27,0
6.54,2.93,6.52,0.55,19.14,10.5,2,0,18.2,0
6.24,5.66,6.14,0.74,20.68,7.17,2,1,13.75,0
9.1,5.64,6.98,1,39.22,18.42,2,1,23.11,0
5.5,3.1,4.5,1.74,79.17,34.74,0,2,20.46,0
9.05,4.42,6.32,1.58,26.3,34.86,0,1,25.55,0
8.19,3.07,5.47,1.93,74.79,14.27,0,0,26.28,0
14.71,4.15,4.48,0.95,54.1,7,2,2,20.72,0
9.17,2.41,6.11,1.91,26.8,30.65,0,2,27.05,0
8.28,4.62,6.47,1.53,10.06,25.02,2,1,12.25,0
9.71,3.8,6.98,1.66,46.43,23.75,1,1,17.95,0
6.28,2.04,5.95,1.07,68.47,33.49,1,2,16.63,0
5.84,5.03,5.24,0.86,69.26,36.91,0,0,14.32,0
5.54,4.59,5.48,1.11,28.18,18.29,2,0,24.6,0
12.36,5.09,5.86,1.26,40.44,20.11,0,1,23.44,0
8.71,3.37,6.9,1.36,71.73,19.36,1,1,11.7,0
8.1,4.73,6.12,0.98,30.95,26.98,1,0,18.42,0
9.17,3.18,6.41,0.96,25.81,22.87,2,1,24.04,0
16.56,5.9,6.04,0.68,15.39,30.43,0,1,18.02,0
9.2,1.66,6.37,1.65,39.43,31.69,1,2,26.51,0
7.89,2.71,6.64,1.53,29.97,21.53,2,0,13.43,0
9.28,3.9,6.82,1.54,61.25,35.52,0,1,20.33,0
6.15,3.15,4.18,0.74,26.64,33.19,2,0,20.71,0
6.49,4.66,5.82,0.77,40.43,27.54,1,1,14.42,0
7.26,2.84,6.75,1.81,74.01,26.94,0,0,21.17,0
9.25,5.15,7.05,1.5,62.55,11.79,2,1,20.15,0
7.98,4.4,6.61,1.8,49.5,34.02,0,2,21.74,0
9.68,4.89,7.51,1.85,41.71,26.77,2,1,24.78,0
8.37,5.44,7.2,1.16,67.59,24.15,0,1,16.74,0
9.47,5.86,8.16,0.82,41.12,31.84,0,2,11.78,0
9.95,5.35,7.66,1.11,74.29,27.35,0,1,26.52,0
14.78,1.56,6.8,0.78,35.13,19.89,2,1,24.85,0
